"","Bezrobocie","Koła kluby sekcje","Biblioteki","Kluby seniora","Lekarze","Oczyszczalnia ścieków","Małżeństwa","Mieszkania","PKB","Beneficjenci ŚPS","Powierzchnia użytkowa","Przestępstwa stwierdzone","Rozwody","Powierzchnia zielona","Dzieci w przedszkolach","Wydatki 754","Wykrawalność przestępstw","Wynagrodzenia","Wypadki przy pracy","Zachowania samobójcze","Separacje"
"PODREGION KRAKOWSKI",4,17.6479779172417,131,1.2,2.17832868935705,58.3,3.76552693940262,334.5,44044,0.228,25729423,12.81,0.078,0.46,901,110651464.04,73.3,6057.05,3.88,0.33,0.008
"PODREGION MIASTO KRAKÓW",2.3,10.8505128971218,255,0.9,9.05537297081964,90.1,5.83358231251867,559,107710,0.187,25936956,27.18,0.231,11.42,1090,276306493.77,62.8,8157.43,2.9,0.5,0.026
"PODREGION NOWOSĄDECKI",6.7,7.54621375621657,147,0.6,1.89546776766445,61.6,4.55475274467486,304.2,26590,0.573,14913136,23.68,0.093,2.02,838,81016211.32,84.2,5234.58,4.25,0.3,0.036
"PODREGION OŚWIĘCIMSKI",6,21.7904519223563,158,2,2.24087536536011,63.3,3.90279547328187,360,32791,0.263,15993435,20.63,0.085,0.93,933,67686062.27,79.3,5762.88,4.46,0.46,0.009
"PODREGION TARNOWSKI",6.2,7.943542132902,145,0.9,2.70767321796548,60.5,4.18780882320356,332.5,21892,0.381,13055863,28.3,0.107,0.61,887,71827498,83.4,5994.91,3.4,0.34,0.02
"PODREGION NOWOTARSKI",5.3,9.96939736346516,142,0.1,2.49529190207156,64.6,4.1960922787194,325.3,15427,0.297,10824315,20.55,0.081,0.77,860,40639011.68,74.4,5344.7,2.61,0.26,0.009
"PODREGION BIELSKI",3.4,18.1350932149266,154,1.4,3.362124022992,77.5,3.88066056385146,381.9,50687,0.197,21641318,25.43,0.163,0.78,952,92328347.92,76.8,6135.42,4.81,0.44,0.043
"PODREGION BYTOMSKI",6.1,13.5691797447668,106,1.2,4.24187074911678,85.7,3.85012857795189,421.4,23503,0.287,12503346,26.11,0.161,1.13,928,52937061.89,74.5,6191.03,5.4,0.67,0.024
"PODREGION CZĘSTOCHOWSKI",4.9,12.2779136104319,112,0.4,3.34963325183374,71.7,3.77139364303178,414.4,35839,0.266,16175226,19.02,0.156,0.65,948,76129848.79,69.6,5818.26,3.48,0.76,0.014
"PODREGION GLIWICKI",3.1,4.45551310043668,163,0.2,5.62681950509461,90.5,4.13937409024745,444.1,46464,0.25,12661994,29.37,0.182,2.16,967,122897742.33,72.2,7015.08,6.52,0.39,0.027
"PODREGION KATOWICKI",2.3,13.5718088550585,140,1.1,8.02049009309754,95.7,4.43184597896312,514,80632,0.32,20798857,79.88,0.175,7.52,977,135944218.01,88.1,7373.93,6.06,0.39,0.029
"PODREGION RYBNICKI",3.8,10.9457179716185,153,1.6,2.53547682842116,79.5,4.12490489894479,365.9,46166,0.185,18256251,26.81,0.165,1.38,914,71044798.27,78.6,7442.43,7.34,0.31,0.021
"PODREGION SOSNOWIECKI",5.1,12.3041403724796,157,0.5,3.79251962444205,80,3.62628905648761,453.7,50555,0.229,19660751,36.06,0.184,1.99,964,103539011.59,78.1,6686.05,6.55,0.36,0.02
"PODREGION TYSKI",2.3,10.8257254024362,154,0.9,3.21948986598174,84,3.66960811738677,366.8,40448,0.165,12187448,18.95,0.146,1.53,957,41857374.86,71.5,6056.27,9.58,0.37,0.008
"PODREGION GORZOWSKI",4,10.8491707212172,114,1.7,2.23649901884358,80.7,4.01870917448456,410.5,24025,0.421,11056055,26.07,0.164,0.28,938,41107092.57,70.1,5865.77,4.52,0.16,0.019
"PODREGION ZIELONOGÓRSKI",4.6,16.8281329670872,110,1.2,2.75671496948863,77.8,4.06599009819563,407.5,42058,0.362,18321485,24.49,0.146,0.5,923,56276904.92,66.3,6111.88,5.21,0.42,0.021
"PODREGION KALISKI",3.1,5.85010260651169,117,0.5,2.14248522159944,67.1,4.00471683665656,357.6,47326,0.357,20496576,17.3,0.154,0.42,945,61315252.66,77.9,5210.17,4.82,0.25,0.014
